max_TCP_windows_size_value_forward_traffic_ratio,max_ttl_backward_traffic_enc,min_ttl_forward_traffic,total_TCP_windows_size_value_forward_traffic_ratio,IPratio_ratio,std_forward_packet_length_ratio,min_backward_packet_length,std_forward_packet_length_enc,mean_ttl_backward_traffic_ratio,IPratio_enc,min_forward_packet_length,std_length_of_IP_packet_ratio,min_ttl_backward_traffic_ratio,max_Interval_of_arrival_time_of_backward_traffic_ratio,meidan_length_of_IP_packet_ratio,max_length_of_IP_packet_ratio,std_length_of_IP_packet_enc,max_Change_values_of_TCP_windows_length_per_session,flow_duration_of_backward_traffic_ratio,median_ttl_backward_traffic,mean_backward_packet_length_ratio,median_forward_packet_length_ratio,std_TCP_windows_size_value_backward_traffic_ratio,std_Length_of_TCP_packet_header,max_Interval_of_arrival_time_of_backward_traffic_enc,mean_forward_packet_length_ratio,median_TCP_windows_size_value_backward_traffic_ratio,unique_link_mark,label,source
1.0,32,32,0.5294117647058824,1.0,0.0,612,0.0,1.0,1.0,52,0.8433734939759037,1.0,0.0,1.0,1.8433734939759037,280.0,1,0.0,32.0,1.8433734939759037,0.1566265060240964,0.0,0.0,0.0,0.1566265060240964,0.9411764705882353,1.1.98.140:57982-1.2.105.178:3306,0,
1.0,32,32,0.5,1.0,0.0,52,0.0,1.0,1.0,66,0.11864406779661017,1.0,0.0,1.0,1.11864406779661,7.0,0,0.0,32.0,0.8813559322033898,1.11864406779661,0.0,0.0,0.0,1.11864406779661,1.0,1.1.31.92:38771-1.2.146.155:3306,0,
0.0,32,32,0.0,1.0,0.0,82,0.0,1.0,1.0,66,0.10810810810810811,1.0,0.0,1.0,1.1081081081081081,8.0,0,0.0,32.0,1.1081081081081081,0.8918918918918919,0.0,0.0,0.0,0.8918918918918919,0.0,1.1.77.187:21714-1.2.250.224:53,0,
1.0,32,32,0.5,1.0,0.0,52,0.0,1.0,1.0,108,0.35,1.0,0.0,1.0,1.35,28.0,0,0.0,32.0,0.65,1.35,0.0,0.0,0.0,1.35,1.0,1.1.215.171:28595-1.2.106.229:3306,0,
1.0,32,32,0.5384615384615384,1.0,0.0,148,0.0,1.0,1.0,52,0.48,1.0,0.0,1.0,1.48,48.0,1,0.0,32.0,1.48,0.52,0.0,0.0,0.0,0.52,0.9230769230769231,1.1.36.176:12466-1.2.43.238:3306,0,
1.0,32,32,0.6190476190476191,1.5,0.07126152080150212,56,1.8856180831641267,1.0,1.5,52,0.39375798591764827,1.0,0.781249950262014,0.8333333333333333,1.7857142857142856,26.460536653665965,1,0.5617977270891561,32.0,1.3095238095238095,0.9285714285714286,0.0,1.9595917942265426,0.00010000000474974513,0.7936507936507936,1.0,1.1.191.236:43988-1.2.19.7:3306,0,
0.0,32,32,0.0,1.0,0.0,82,0.0,1.0,1.0,66,0.10810810810810811,1.0,0.0,1.0,1.1081081081081081,8.0,0,0.0,32.0,1.1081081081081081,0.8918918918918919,0.0,0.0,0.0,0.8918918918918919,0.0,1.1.66.198:62961-1.2.68.10:53,0,
1.0,32,32,0.5454545454545454,1.0,0.0,63,0.0,1.0,1.0,52,0.09565217391304348,1.0,0.0,1.0,1.0956521739130434,5.5,1,0.0,32.0,1.0956521739130434,0.9043478260869565,0.0,0.0,0.0,0.9043478260869565,0.9090909090909091,1.1.164.164:45354-1.2.172.92:3306,0,
1.0,32,32,0.6666666666666666,2.0,0.0,52,0.0,1.0,2.0,52,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.1.205.139:47570-1.2.180.219:3306,0,
1.0,32,32,0.5294117647058824,1.0,0.0,436,0.0,1.0,1.0,52,0.7868852459016393,1.0,0.0,1.0,1.7868852459016393,192.0,1,0.0,32.0,1.7868852459016393,0.21311475409836064,0.0,0.0,0.0,0.21311475409836064,0.9411764705882353,1.1.216.92:29912-1.2.196.28:3306,0,
1.0,32,32,0.5333333333333333,1.0,0.0,63,0.0,1.0,1.0,52,0.09565217391304348,1.0,0.0,1.0,1.0956521739130434,5.5,1,0.0,32.0,1.0956521739130434,0.9043478260869565,0.0,0.0,0.0,0.9043478260869565,0.9333333333333333,1.1.31.7:38703-1.2.38.109:3306,0,
1.0,32,32,0.5,1.0,0.0,52,0.0,1.0,1.0,57,0.045871559633027525,1.0,0.0,1.0,1.0458715596330275,2.5,0,0.0,32.0,0.9541284403669725,1.0458715596330275,0.0,0.0,0.0,1.0458715596330275,1.0,1.1.24.115:44309-1.2.28.101:3306,0,
1.0,32,32,0.5,1.0,0.0,52,0.0,1.0,1.0,66,0.11864406779661017,1.0,0.0,1.0,1.11864406779661,7.0,0,0.0,32.0,0.8813559322033898,1.11864406779661,0.0,0.0,0.0,1.11864406779661,1.0,1.1.28.74:37968-1.2.151.139:3306,0,
1.0,32,32,0.5454545454545454,1.0,0.0,63,0.0,1.0,1.0,52,0.09565217391304348,1.0,0.0,1.0,1.0956521739130434,5.5,1,0.0,32.0,1.0956521739130434,0.9043478260869565,0.0,0.0,0.0,0.9043478260869565,0.9090909090909091,1.1.114.127:54014-1.2.206.45:3306,0,
