max_TCP_windows_size_value_forward_traffic_ratio,max_ttl_backward_traffic_enc,min_ttl_forward_traffic,total_TCP_windows_size_value_forward_traffic_ratio,IPratio_ratio,std_forward_packet_length_ratio,min_backward_packet_length,std_forward_packet_length_enc,mean_ttl_backward_traffic_ratio,IPratio_enc,min_forward_packet_length,std_length_of_IP_packet_ratio,min_ttl_backward_traffic_ratio,max_Interval_of_arrival_time_of_backward_traffic_ratio,meidan_length_of_IP_packet_ratio,max_length_of_IP_packet_ratio,std_length_of_IP_packet_enc,max_Change_values_of_TCP_windows_length_per_session,flow_duration_of_backward_traffic_ratio,median_ttl_backward_traffic,mean_backward_packet_length_ratio,median_forward_packet_length_ratio,std_TCP_windows_size_value_backward_traffic_ratio,std_Length_of_TCP_packet_header,max_Interval_of_arrival_time_of_backward_traffic_enc,mean_forward_packet_length_ratio,median_TCP_windows_size_value_backward_traffic_ratio,unique_link_mark,source,label
1.0,32,32,0.5,1.0,0.0,452,0.0,1.0,1.0,52,0.7936507936507936,1.0,0.0,1.0,1.7936507936507937,200.0,0,0.0,32.0,1.7936507936507937,0.20634920634920634,0.0,0.0,0.0,0.20634920634920634,1.0,1.1.136.120:62703-1.2.240.52:443,Gmail,0
1.0,32,32,0.47058823529411764,1.0,0.5395041228779109,52,25.34551364104494,1.0,1.0,52,0.6096805957637698,1.0,0.7520000149011588,0.6748377793799567,2.8550829127613553,46.97927701801937,3,0.9603960272408004,32.0,1.1405912040374908,1.0,0.9128709291752767,1.2570787221094177,9.400001727044582e-05,0.8594087959625091,1.0,1.1.187.36:5586-1.2.187.234:3724,WorldOfWarcraft,0
1.0,32,32,0.375,0.5,0.0,52,0.0,1.0,0.5,52,0.0,1.0,1.0,1.0,1.0,0.0,2,1.0,32.0,1.0,1.0,0.0,0.0,3.0000024707987905e-05,1.0,1.0,1.1.177.25:9298-1.2.31.151:80,Gmail,0
1.0,32,32,0.47058823529411764,1.0,0.49068347458648126,52,25.090945688745084,1.0,1.0,52,0.6532465284968274,1.0,1.0,0.6643009226401704,3.1171043293115686,51.13468659177943,3,0.969194319415024,32.0,1.156848828956707,1.0,0.9128709291752767,1.2570787221094177,0.00016299998969770968,0.8431511710432932,1.0,1.1.225.18:23155-1.2.225.122:3724,WorldOfWarcraft,0
1.0,32,32,0.47058823529411764,1.0,0.49068347458648126,52,25.090945688745084,1.0,1.0,52,0.6532465284968274,1.0,0.9140625177635705,0.6643009226401704,3.1171043293115686,51.13468659177943,3,0.9728096367266069,32.0,1.156848828956707,1.0,0.9128709291752767,1.2570787221094177,0.00011699998867698014,0.8431511710432932,1.0,1.1.228.200:22092-1.2.81.50:3724,WorldOfWarcraft,0
1.0,32,32,0.4,0.6666666666666666,0.0,52,0.0,1.0,0.6666666666666666,52,0.7850467289719625,1.0,1.0,0.6074766355140188,2.5700934579439254,67.19999999999999,0,1.0,32.0,1.2616822429906542,1.0,0.0,0.0,3.600001218728721e-05,0.6074766355140188,1.0,1.1.28.156:8636-1.2.168.255:3724,WorldOfWarcraft,0
1.0,32,32,0.5,1.0,1.2071162302188905,52,404.0,1.0,1.0,52,0.9454292049790117,1.0,0.9715122445352392,0.711864406779661,2.4293785310734464,334.68193856257017,0,0.9715122445352392,32.0,0.711864406779661,1.8095238095238095,0.0,0.0,0.010946999973384663,1.2881355932203389,1.0,1.1.83.37:24413-1.2.90.160:443,Gmail,0
0.9047619047619048,32,32,0.475,1.0,0.0,52,0.0,1.0,1.0,675,0.8569463548830811,1.0,0.0,1.0,1.8569463548830811,311.5,1,0.0,32.0,0.14305364511691884,1.8569463548830811,0.0,0.0,0.0,1.8569463548830811,1.05,1.1.77.248:21737-1.2.78.240:443,Gmail,0
1.0,32,32,0.47058823529411764,1.0,0.5395041228779109,52,25.34551364104494,1.0,1.0,52,0.6096805957637698,1.0,0.9261083757967353,0.6748377793799567,2.8550829127613553,46.97927701801937,3,0.9902629124444268,32.0,1.1405912040374908,1.0,0.9128709291752767,1.2570787221094177,0.00018799997633323073,0.8594087959625091,1.0,1.1.138.182:17366-1.2.63.30:3724,WorldOfWarcraft,0
1.0,32,32,0.3469387755102041,0.5,0.0,52,0.0,1.0,0.5,52,0.0,1.0,1.0,1.0,1.0,0.0,2,1.0,32.0,1.0,1.0,0.0,0.0,0.00019199997768737376,1.0,1.0,1.1.79.42:22510-1.2.231.40:443,Gmail,0
1.0,32,32,0.3333333333333333,0.5,0.0,52,0.0,1.0,0.5,52,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,32.0,1.0,1.0,0.0,0.0,0.00014999997802078724,1.0,1.0,1.1.111.54:29766-1.2.111.146:443,Gmail,0
1.0,32,32,0.47058823529411764,1.0,0.49068347458648126,52,25.090945688745084,1.0,1.0,52,0.6532465284968274,1.0,0.935135117277417,0.6643009226401704,3.1171043293115686,51.13468659177943,3,0.9848837073542165,32.0,1.156848828956707,1.0,0.9128709291752767,1.2570787221094177,0.00017300000763498247,0.8431511710432932,1.0,1.1.191.223:48498-1.2.184.111:3724,WorldOfWarcraft,0
1.0,32,32,0.3469387755102041,0.5,0.0,52,0.0,1.0,0.5,52,0.0,1.0,1.0,1.0,1.0,0.0,2,1.0,32.0,1.0,1.0,0.0,0.0,6.3000014051795e-05,1.0,1.0,1.1.108.144:51609-1.2.112.212:443,Gmail,0
0.95,32,32,0.48717948717948717,1.0,0.0,52,0.0,1.0,1.0,1457,0.9310801855533466,1.0,0.0,1.0,1.9310801855533466,702.5,1,0.0,32.0,0.06891981444665342,1.9310801855533466,0.0,0.0,0.0,1.9310801855533466,1.0256410256410255,1.1.207.190:52479-1.2.200.56:443,Gmail,0
0.8235294117647058,32,32,0.45161290322580644,1.0,0.0,52,0.0,1.0,1.0,1457,0.9310801855533466,1.0,0.0,1.0,1.9310801855533466,702.5,1,0.0,32.0,0.06891981444665342,1.9310801855533466,0.0,0.0,0.0,1.9310801855533466,1.096774193548387,1.1.31.247:41160-1.2.39.255:443,BitTorrent,0
1.0,32,32,0.47058823529411764,1.0,0.5395041228779109,52,25.34551364104494,1.0,1.0,52,0.6096805957637698,1.0,1.0,0.6748377793799567,2.8550829127613553,46.97927701801937,3,0.9870689610562834,32.0,1.1405912040374908,1.0,0.9128709291752767,1.2570787221094177,0.00022200000239536166,0.8594087959625091,1.0,1.1.129.67:34485-1.2.53.169:3724,WorldOfWarcraft,0
0.8181818181818182,32,32,0.45,1.0,0.0,52,0.0,1.0,1.0,118,0.38823529411764707,1.0,0.0,1.0,1.388235294117647,33.0,1,0.0,32.0,0.611764705882353,1.388235294117647,0.0,0.0,0.0,1.388235294117647,1.1,1.1.91.49:55074-1.2.210.105:443,BitTorrent,0
1.0,32,32,0.5151515151515151,1.0,0.0,1266,0.0,1.0,1.0,52,0.921092564491654,1.0,0.0,1.0,1.921092564491654,607.0,1,0.0,32.0,1.921092564491654,0.07890743550834597,0.0,0.0,0.0,0.07890743550834597,0.9696969696969697,1.1.83.113:23677-1.2.227.188:443,Gmail,0
0.84375,32,32,0.4576271186440678,1.0,0.0,52,0.0,1.0,1.0,1457,0.9310801855533466,1.0,0.0,1.0,1.9310801855533466,702.5,1,0.0,32.0,0.06891981444665342,1.9310801855533466,0.0,0.0,0.0,1.9310801855533466,1.0847457627118644,1.1.249.146:23138-1.2.85.158:443,BitTorrent,0
0.8181818181818182,32,32,0.45,1.0,0.0,52,0.0,1.0,1.0,118,0.38823529411764707,1.0,0.0,1.0,1.388235294117647,33.0,1,0.0,32.0,0.611764705882353,1.388235294117647,0.0,0.0,0.0,1.388235294117647,1.1,1.1.115.141:54188-1.2.122.240:443,BitTorrent,0
0.8181818181818182,32,32,0.45,1.0,0.0,52,0.0,1.0,1.0,118,0.38823529411764707,1.0,0.0,1.0,1.388235294117647,33.0,1,0.0,32.0,0.611764705882353,1.388235294117647,0.0,0.0,0.0,1.388235294117647,1.1,1.1.216.128:30917-1.2.192.6:443,BitTorrent,0
0.8285714285714286,32,32,0.453125,1.0,0.0,888,0.0,1.0,1.0,52,0.8893617021276595,1.0,0.0,1.0,1.8893617021276596,418.0,1,0.0,32.0,1.8893617021276596,0.11063829787234042,0.0,0.0,0.0,0.11063829787234042,1.09375,1.1.164.176:44219-1.2.175.255:443,BitTorrent,0
0.9523809523809523,32,32,0.4878048780487805,1.0,0.0,1457,0.0,1.0,1.0,52,0.9310801855533466,1.0,0.0,1.0,1.9310801855533466,702.5,1,0.0,32.0,1.9310801855533466,0.06891981444665342,0.0,0.0,0.0,0.06891981444665342,1.024390243902439,1.1.15.51:5212-1.2.15.157:443,Gmail,0
1.0,32,32,0.375,0.5,0.0,52,0.0,1.0,0.5,52,0.0,1.0,1.0,1.0,1.0,0.0,2,1.0,32.0,1.0,1.0,0.0,0.0,0.00010200001997873187,1.0,1.0,1.1.125.167:45331-1.2.172.77:80,Gmail,0
1.0,32,32,0.5,1.0,0.0,686,0.0,1.0,1.0,52,0.8590785907859079,1.0,0.0,1.0,1.8590785907859078,317.0,0,0.0,32.0,1.8590785907859078,0.14092140921409213,0.0,0.0,0.0,0.14092140921409213,1.0,1.1.144.121:38317-1.2.36.207:443,Skype,0
0.8235294117647058,32,32,0.45161290322580644,1.0,0.0,52,0.0,1.0,1.0,1457,0.9310801855533466,1.0,0.0,1.0,1.9310801855533466,702.5,1,0.0,32.0,0.06891981444665342,1.9310801855533466,0.0,0.0,0.0,1.9310801855533466,1.096774193548387,1.1.142.39:18894-1.2.241.18:443,BitTorrent,0
